||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İzmir(Bergama/Bergama Bel./Fatih Mah.)-41363|20005.0|
|İzmir(Bergama/Bergama Bel./Ferizler Mah.)-193449|145.0|
|İzmir(Bergama/Bergama Bel./Fevzipaşa Mah.)-41364|2905.0|
|İzmir(Bergama/Bergama Bel./Gaylan Mah.)-193453|128.0|
|İzmir(Bergama/Bergama Bel./Gaziosmanpaşa Mah.)-41365|8637.0|
|İzmir(Bergama/Bergama Bel./Gazipaşa Mah.)-41366|506.0|
|İzmir(Bergama/Bergama Bel./Göbeller Mah.)-193629|291.0|
|İzmir(Bergama/Bergama Bel./Göçbeyli Mah.)-193299|1429.0|
|İzmir(Bergama/Bergama Bel./Gökçeyurt Mah.)-193457|41.0|
|İzmir(Bergama/Bergama Bel./Gültepe Mah.)-193689|23.0|
|İzmir(Bergama/Bergama Bel./Güneşli Mah.)-193655|232.0|
|İzmir(Bergama/Bergama Bel./Hacıhamzalar Mah.)-193631|198.0|
|İzmir(Bergama/Bergama Bel./Hacılar (Dereköy Bucağı) Mah.)-193691|156.0|
|İzmir(Bergama/Bergama Bel./Hacılar (İsmailli Bucağı) Mah.)-193765|117.0|
|İzmir(Bergama/Bergama Bel./Halilağalar Mah.)-193695|76.0|
|İzmir(Bergama/Bergama Bel./Hamzalısüleymaniye Mah.)-193461|109.0|
|İzmir(Bergama/Bergama Bel./Hisarköy Mah.)-193637|160.0|
|İzmir(Bergama/Bergama Bel./İkizler Mah.)-193697|129.0|
|İzmir(Bergama/Bergama Bel./Ilgıncaber Mah.)-193563|58.0|
|İzmir(Bergama/Bergama Bel./İncecikler Mah.)-193463|187.0|
|İzmir(Bergama/Bergama Bel./İneşir Mah.)-193703|114.0|
|İzmir(Bergama/Bergama Bel./İnkılap Mah.)-41367|1331.0|
|İzmir(Bergama/Bergama Bel./İslamsaray Mah.)-41368|1477.0|
|İzmir(Bergama/Bergama Bel./İsmailli Mah.)-193743|166.0|
|İzmir(Bergama/Bergama Bel./Kadıköy Mah.)-193567|400.0|
|İzmir(Bergama/Bergama Bel./Kaleardı Mah.)-193471|65.0|
|İzmir(Bergama/Bergama Bel./Kaplan (Göçbeyli Bucağı) Mah.)-193573|54.0|
|İzmir(Bergama/Bergama Bel./Kaplan (Yukarıbey Bucağı) Mah.)-193641|265.0|
|İzmir(Bergama/Bergama Bel./Kapukaya Mah.)-193477|41.0|
|İzmir(Bergama/Bergama Bel./Karahıdırlı Mah.)-193479|150.0|
|İzmir(Bergama/Bergama Bel./Karalar Mah.)-193707|242.0|
|İzmir(Bergama/Bergama Bel./Karaveliler Mah.)-193643|512.0|
|İzmir(Bergama/Bergama Bel./Kaşıkçı Mah.)-193483|144.0|
|İzmir(Bergama/Bergama Bel./Katrancı Mah.)-193711|128.0|
|İzmir(Bergama/Bergama Bel./Kıranlı Mah.)-193649|372.0|
|İzmir(Bergama/Bergama Bel./Kırcalar Mah.)-193713|124.0|
|İzmir(Bergama/Bergama Bel./Kızıltepe Mah.)-193793|79.0|
|İzmir(Bergama/Bergama Bel./Kocahaliller Mah.)-193769|18.0|
|İzmir(Bergama/Bergama Bel./Kocaköy Mah.)-193771|28.0|
|İzmir(Bergama/Bergama Bel./Koyuneli Mah.)-193799|294.0|
|İzmir(Bergama/Bergama Bel./Kozluca Mah.)-193577|252.0|
