name,ilce_adi,own_assembly_m2,own_assembly_count,regional_assembly_m2,regional_assembly_count
Hasköy Mahallesi,Bayındır,11.5,1.0,677.0,2.0
Hasseki Mahallesi,Karaburun,791.0,1.0,625.45,3.0
Hatay Mahallesi,Bayındır,500.0,1.0,4304.6,24.0
Hatundere Mahallesi,Menemen,0.0,0.0,6895.0,3.0
Havutçulu Mahallesi,Selçuk,4.86,1.0,0.0,0.0
Havuzbaşı Mahallesi,Bayındır,4.43,1.0,4.54,2.0
Haykıran Mahallesi,Menemen,3176.0,1.0,0.0,0.0
Helvacı Mahallesi,Torbalı,1.29,1.0,6.03,2.0
Hilal Mahallesi,Konak,1.1,1.0,1877.23,29.0
Hisar Mahallesi,Kiraz,2.2,2.0,920.0,10.0
Hisarköy Mahallesi,Bergama,1.2,1.0,757.65,4.0
Hisarlık Mahallesi,Tire,290.0,2.0,2444.52,9.0
Horozgediği Mahallesi,Aliağa,1800.0,1.0,4672.23,2.0
Horzum Mahallesi,Ödemiş,5.42,1.0,0.0,0.0
Hurşidiye Mahallesi,Konak,0.0,0.0,1685.85,37.0
Huzur Mahallesi,Narlıdere,518.54,12.0,0.0,0.0
Hürriyet Mahallesi,Ödemiş,731.29,20.0,9.43,0.0
Hıdırlık Mahallesi,Seferihisar,27.78,2.0,56.84,7.0
Ildır Mahallesi,Çeşme,810.5,5.0,0.0,0.0
Ilgıncaber Mahallesi,Bergama,430.0,1.0,453.0,3.0
Ilıca Mahallesi,Narlıdere,540.14,10.0,0.0,0.0
Ilıpınar Mahallesi,Foça,3.78,1.0,1.19,1.0
Irmak Mahallesi,Menemen,20.98,3.0,265.08,12.0
Işık Mahallesi,Ödemiş,3.2,1.0,11.84,4.0
Işıklar Mahallesi,Bornova,4.76,3.0,2600.36,18.0
Işıklı Mahallesi,Tire,3.48,1.0,937.78,3.0
Kabaağaç Mahallesi,Bayındır,900.0,1.0,0.0,0.0
Kabakum Mahallesi,Dikili,8.5,1.0,3.1,1.0
Kadifekale Mahallesi,Konak,0.0,0.0,3309.11,53.0
Kadriye Mahallesi,Bergama,0.0,0.0,814.77,6.0
Kadıköy Mahallesi,Bergama,1.1,1.0,500.0,1.0
Kadıovacık Mahallesi,Urla,848.0,1.0,0.0,0.0
Kahraman Mescit Mahallesi,Konak,0.0,0.0,2411.87,46.0
Kahramandere Mahallesi,Güzelbahçe,1828.0,10.0,5495.58,44.0
Kahramanlar Mahallesi,Konak,4.96,1.0,1693.99,24.0
Kahrat Mahallesi,Tire,900.0,1.0,0.0,0.0
Kaklıç Mahallesi,Çiğli,15.0,1.0,0.0,0.0
Kalabak Mahallesi,Urla,1944.8,5.0,34910.2,4.0
Kaleardı Mahallesi,Bergama,0.0,0.0,848.0,2.0
Kaleköy Mahallesi,Kiraz,1.0,1.0,1406.65,5.0
Kalemköy Mahallesi,Kınık,550.0,1.0,0.0,0.0
Kamberler Mahallesi,Kemalpaşa,1.72,1.0,5.23,1.0
Kaplan Mahallesi,Tire,713.0,1.0,3346.4,14.0
Kaplancık Mahallesi,Torbalı,6.5,1.0,0.0,0.0
Kapukaya Mahallesi,Bergama,1004.0,2.0,157.0,0.0
Karabağ Mahallesi,Kiraz,1.6,1.0,899.2,10.0
Karabağlar Mahallesi,Karabağlar,5.39,2.0,2893.26,113.0
Karabulu Mahallesi,Kiraz,0.0,0.0,2107.17,6.0
Karaburç Mahallesi,Kiraz,403.86,3.0,10.6,2.0
Karaca Ali Mahallesi,Tire,0.0,0.0,3328.82,18.0
Karacaağaç Mahallesi,Buca,524.0,1.0,226.33,2.0
Karacaoğlan Mahallesi,Bornova,0.0,0.0,293.55,16.0
Karadere Mahallesi,Kınık,600.0,1.0,0.0,0.0
Karadoğan Mahallesi,Ödemiş,2.09,1.0,11.54,3.0
Karahalilli Mahallesi,Bayındır,1.5,1.0,515.75,6.0
Karahayıt Mahallesi,Bayındır,500.0,1.0,2160.75,5.0
Karahıdırlı Mahallesi,Bergama,400.0,1.0,429.2,3.0
Karakova Mahallesi,Ödemiş,1.84,1.0,0.0,0.0
Karakuyu Mahallesi,Menderes,8.32,1.0,0.0,0.0
Karakuzu Mahallesi,Aliağa,4327.0,1.0,0.0,0.0
Karaköy Mahallesi,Aliağa,2765.0,2.0,0.0,0.0
Karakızlar Mahallesi,Torbalı,602.82,2.0,1330.0,2.0
Karalar Mahallesi,Bergama,1.0,1.0,1070.0,3.0
Karaman Mahallesi,Kiraz,1.2,1.0,3.4,2.0
Karanfil Mahallesi,Buca,7.6,1.0,2385.05,64.0
Karaoba Mahallesi,Beydağ,18.0,1.0,3.02,3.0
Karaorman Mahallesi,Menemen,0.0,0.0,0.0,0.0
Karaot Mahallesi,Torbalı,1330.0,2.0,602.82,2.0
Karapınar Mahallesi,Bayındır,500.0,1.0,2160.75,5.0
Karateke Mahallesi,Tire,2.14,1.0,2.09,1.0
Karatekeli Mahallesi,Kınık,666.0,1.0,5.0,2.0
Karaveliler Mahallesi,Bergama,1.2,1.0,508.8,1.0
Karaçam Mahallesi,Bornova,612.0,3.0,5.7,1.0
Karşıyaka Mahallesi,Torbalı,28.38,3.0,163.6,19.0
Kasımpaşa Mahallesi,Menderes,19.09,4.0,20547.39,119.0
Katrancı Mahallesi,Bergama,210.0,1.0,1641.0,5.0
Katıralanı Mahallesi,Dikili,700.0,1.0,1.3,1.0
Kavacık Mahallesi,Karabağlar,1.02,1.0,0.0,0.0
Kavakdere Mahallesi,Seferihisar,1000.0,2.0,0.0,0.0
Kavaklıdere Mahallesi,Bornova,0.0,0.0,3.0,1.0
Kayadibi Mahallesi,Bornova,0.0,0.0,604.4,3.0
Kayaköy Mahallesi,Ödemiş,15.57,2.0,3.32,2.0
Kaymakçı Mahallesi,Ödemiş,15.92,3.0,13.55,2.0
Kaynaklar Merkez Mahallesi,Buca,9.12,2.0,3.03,1.0
Kazanlı Mahallesi,Ödemiş,3.76,1.0,5.79,3.0
Kazım Dirik Mahallesi,Foça,23501.0,2.0,0.0,7.0
Kazım Karabekir Mahallesi,Torbalı,28.35,8.0,9.85,0.0
Kazımdirik Mahallesi,Bornova,141.66,7.0,350.93,11.0
Kazımpaşa Mahallesi,Menemen,9344.09,5.0,0.0,7.0
Kaşıkçı Mahallesi,Bergama,800.0,1.0,830.0,1.0
Keler Mahallesi,Menderes,3.9,1.0,0.0,0.0
Kemal Atatürk Mahallesi,Menemen,1383.0,2.0,0.0,0.0
Kemal Reis Mahallesi,Konak,0.0,0.0,1056.51,72.0
Kemalpaşa Mahallesi,Menderes,134.97,7.0,0.0,0.0
Kemalpaşa Organize Sanayi Bölgesi,Kemalpaşa,0.0,0.0,3839.18,4.0
Kemenler Mahallesi,Ödemiş,1.76,1.0,9.69,2.0
Kemer Mahallesi,Ödemiş,1.85,1.0,500.0,1.0
Kerpiçlik Mahallesi,Ödemiş,1.66,1.0,2.98,2.0
Kesik Mahallesi,Menemen,0.0,0.0,0.0,0.0
Kestelli Mahallesi,Konak,0.0,0.0,2402.77,41.0
Ketenci Mahallesi,Tire,467.0,1.0,5076.91,39.0
Kibar Mahallesi,Kiraz,405.2,3.0,0.0,1.0
Kireli Mahallesi,Tire,2.66,1.0,0.0,0.0
Koca Mehmetler Mahallesi,Foça,0.0,0.0,1.86,1.0
Kocaaliler Mahallesi,Tire,741.0,1.0,7.87,4.0
Kocahaliller Mahallesi,Bergama,130.0,1.0,216.45,3.0
Kocakapı Mahallesi,Konak,0.0,0.0,2588.66,39.0
Kocaköy Mahallesi,Bergama,125.0,1.0,220.0,2.0
Kocaoba Mahallesi,Dikili,1.55,1.0,2.51,2.0
Kocatepe Mahallesi,Konak,0.0,0.0,2921.92,67.0
Kocaömerli Mahallesi,Kınık,0.0,0.0,63.88,6.0
Kodukburun Mahallesi,Kınık,300.0,1.0,0.0,0.0
Konak Mahallesi,Konak,29.7,1.0,1657.28,33.0
Konaklı Mahallesi,Ödemiş,9.98,2.0,13.95,3.0
Korutürk Mahallesi,Balçova,27380.0,4.0,111521.7,49.0
Kosova Mahallesi,Konak,0.0,0.0,3678.14,57.0
Koyuneli Mahallesi,Bergama,450.0,1.0,0.0,0.0
Kozağaç Mahallesi,Buca,38.07,4.0,2816.24,90.0
Kozbeyli Mahallesi,Foça,11.19,1.0,5.39,4.0
Kozluca Mahallesi,Bergama,450.0,1.0,430.0,1.0
Koşukavak Mahallesi,Bornova,0.0,0.0,1224.97,25.0
Kubilay Mahallesi,Konak,0.0,0.0,3171.13,47.0
Kurfallı Mahallesi,Bergama,1.9,1.0,990.3,4.0
Kurt Mahallesi,Bayındır,1250.0,2.0,3554.46,23.0
Kurtuluş Mahallesi,Bergama,3364.45,4.0,0.0,0.0
Kurucuova Mahallesi,Ödemiş,7.86,1.0,6.6,2.0
Kurudere Mahallesi,Beydağ,4.01,3.0,0.0,0.0
Kuruçeşme Mahallesi,Buca,10.61,4.0,388.64,36.0
Kurşak Mahallesi,Tire,1.35,1.0,1.22,1.0
Kutlubeyler Mahallesi,Ödemiş,500.0,1.0,893.36,3.0
Kuvvetli Mahallesi,Ödemiş,24.02,2.0,151.7,26.0
Kuyucak Mahallesi,Kemalpaşa,7367.0,3.0,0.0,3.0
Kuşçuburun Mahallesi,Torbalı,16.37,2.0,0.0,0.0
Kuşçular Mahallesi,Urla,11.04,2.0,0.0,0.0
Köfündere Mahallesi,Ödemiş,1.91,1.0,5.69,1.0
Körfez Mahallesi,Bayraklı,0.0,0.0,113.8,19.0
Kösedere Mahallesi,Karaburun,1.8,1.0,0.0,0.0
Köseler Mahallesi,Ödemiş,1460.92,3.0,0.0,0.0
Köyiçi Mahallesi,Çiğli,2.27,1.0,12293.79,56.0
Kültür Mahallesi,Konak,28564.0,2.0,0.0,1.0
Küner Mahallesi,Menderes,7.67,2.0,4.83,0.0
Kürdüllü Mahallesi,Tire,680.0,1.0,943.42,5.0
Küre Mahallesi,Ödemiş,3.19,1.0,0.0,0.0
Küçük Çiğli Mahallesi,Çiğli,0.0,0.0,10478.31,40.0
Küçükada Mahallesi,Konak,0.0,0.0,4155.08,60.0
Küçükavulcuk Mahallesi,Ödemiş,3.55,1.0,2457.42,5.0
Küçükbahçe Mahallesi,Karaburun,32.15,2.0,0.0,0.0
Küçükburun Mahallesi,Tire,484.0,1.0,2031.0,4.0
Küçükkale Mahallesi,Tire,1.56,1.0,3.63,2.0
Küçükkaya Mahallesi,Güzelbahçe,148.04,2.0,3576.13,26.0
Küçükkemerdere Mahallesi,Tire,916.0,1.0,1285.73,3.0
Küçükkömürcü Mahallesi,Tire,640.0,1.0,521.5,2.0
Küçükören Mahallesi,Ödemiş,506.65,2.0,3.19,1.0
Kılıç Reis Mahallesi,Konak,5.41,1.0,1491.86,76.0
Kınık Organize Sanayi Bölgesi,Kınık,0.0,0.0,827.24,6.0
Kır Mahallesi,Menemen,0.0,0.0,0.0,0.0
Kıranlı Mahallesi,Bergama,1.15,1.0,0.0,0.0
Kıratlı Mahallesi,Dikili,3.1,1.0,0.0,0.0
Kırbaş Mahallesi,Torbalı,1.27,1.0,24.9,2.0
Kırcalar Mahallesi,Bergama,650.0,1.0,1281.0,4.0
Kırklar Mahallesi,Buca,11.19,2.0,0.0,0.0
Kırköy Mahallesi,Kiraz,8.6,1.0,33.6,9.0
Kıroba Mahallesi,Dikili,0.0,0.0,5.16,4.0
Kırtepe Mahallesi,Tire,3.53,1.0,763.06,3.0
Kısık Mahallesi,Menderes,4.08,1.0,33.6,4.0
Kızılay Mahallesi,Bornova,205.2,2.0,684.64,19.0
Kızılca Mahallesi,Ödemiş,1.38,1.0,4.17,2.0
Kızılcaavlu Mahallesi,Ödemiş,4.06,1.0,1383.11,5.0
Kızılcaağaç Mahallesi,Bayındır,501.64,2.0,2757.44,8.0
Kızılcahavlu Mahallesi,Tire,2.19,1.0,0.0,0.0
Kızılcaova Mahallesi,Bayındır,8.9,2.0,740.76,3.0
Kızılkeçili Mahallesi,Bayındır,1.5,1.0,0.0,0.0
Kızıloba Mahallesi,Bayındır,2.4,1.0,0.0,0.0
Kızıltepe Mahallesi,Bergama,270.0,1.0,690.0,1.0
Kızılçukur Mahallesi,Dikili,1.1,1.0,4.31,2.0
Kızılüzüm Mahallesi,Kemalpaşa,3651.0,3.0,0.0,0.0
Kışla Mahallesi,Ödemiş,3.15,1.0,11.82,4.0
Laka Mahallesi,Bornova,2.7,1.0,1725.38,13.0
Lale Mahallesi,Konak,0.0,0.0,3838.91,66.0
Laleli Mahallesi,Buca,1.26,1.0,3891.46,84.0
Latife Hanım Mahallesi,Karşıyaka,9.7,1.0,81.15,13.0
Levent Mahallesi,Konak,0.0,0.0,3579.61,48.0
Limanreis Mahallesi,Narlıdere,32.95,7.0,906.32,8.0
Limontepe Mahallesi,Karabağlar,1.27,1.0,12008.81,86.0
Lütuflar Mahallesi,Bayındır,1.6,1.0,0.0,0.0
M.Fevzi Çakmak Mahallesi,Urla,0.0,0.0,500.14,14.0
Mahmudiye Mahallesi,Bergama,0.0,0.0,1251.0,3.0
Mahmutlar Mahallesi,Tire,1.04,1.0,3.07,2.0
Maliyeciler Mahallesi,Karabağlar,7.32,2.0,12889.12,92.0
Maltepe Mahallesi,Bergama,935.77,12.0,0.0,0.0
Manavkuyu Mahallesi,Bayraklı,0.0,0.0,425.75,15.0
Mansuroğlu Mahallesi,Bayraklı,0.0,0.0,481.19,15.0
Mareşal Fevzi Çakmak Mahallesi,Foça,18.67,1.0,511.34,2.0
Maruflar Mahallesi,Bergama,1.0,1.0,550.0,2.0
Mavidere Mahallesi,Kiraz,1.6,1.0,600.0,1.0
Mavişehir Mahallesi,Karşıyaka,133.8,6.0,4109.46,77.0
Mazılı Mahallesi,Dikili,0.0,0.0,0.0,0.0
Mecidiye Mahallesi,Konak,0.0,0.0,1740.17,53.0
Mehmet Akif Ersoy Mahallesi,Kemalpaşa,3584.35,18.0,5943.56,16.0
Mehmet Akif Mahallesi,Konak,0.0,0.0,3509.33,59.0
Mehmet Ali Akman Mahallesi,Konak,9.41,2.0,115641.91,62.0
Mehmetler Mahallesi,Tire,1.95,1.0,4.94,3.0
Mehtap Mahallesi,Konak,0.0,0.0,4234.96,70.0
Mektep Mahallesi,Bayındır,8.0,1.0,33.36,6.0
Menderes Mahallesi,Beydağ,626.74,5.0,0.0,0.0
Merdivenli Mahallesi,Dikili,1.3,1.0,0.0,0.0
Meriç Mahallesi,Bornova,162.62,1.0,2066.48,36.0
Merkez Mahallesi,Karaburun,14.99,2.0,204.28,3.0
Mermerli Mahallesi,Menemen,1000.0,1.0,28989.0,3.0
Mersin Alanı Mahallesi,Seferihisar,0.0,0.0,26.22,4.0
Mersinli Mahallesi,Konak,0.0,0.0,1915.7,30.0
Mersinlidere Mahallesi,Kiraz,700.0,1.0,600.0,1.0
Mescitli Mahallesi,Ödemiş,4.12,1.0,0.0,0.0
Metin Oktay Mahallesi,Karabağlar,1.3,1.0,24369.96,94.0
Mevlana Mahallesi,Bornova,62.24,1.0,792.92,15.0
Meşrutiyet Mahallesi,Ödemiş,3.24,1.0,172.47,27.0
Millet Mahallesi,Konak,0.0,0.0,2702.98,54.0
Mimar Sinan Mahallesi,Ödemiş,4394.17,6.0,0.0,8.0
Mirali Mahallesi,Konak,0.0,0.0,2429.24,42.0
Mithatpaşa Mahallesi,Menderes,1850.45,10.0,0.0,0.0
Mordoğan Mahallesi,Karaburun,39.39,2.0,1.38,0.0
Muammer Akar Mahallesi,Karabağlar,1.24,1.0,56937.05,77.0
Muhittin Erener Mahallesi,Bayraklı,0.0,0.0,54.6,8.0
Murat Mahallesi,Konak,0.0,0.0,2296.02,50.0
Murat Reis Mahallesi,Konak,1.37,1.0,1064.45,78.0
Muratbey Mahallesi,Torbalı,63.55,5.0,106.38,14.0
Murathan Mahallesi,Buca,11.2,2.0,2344.15,38.0
Muratlar Mahallesi,Bergama,570.0,1.0,992.0,3.0
Mursallı Mahallesi,Ödemiş,4.11,1.0,78.33,5.0
Musabey Mahallesi,Menemen,0.0,0.0,0.0,0.0
Musacalı Mahallesi,Kınık,400.0,1.0,0.0,0.0
Musalar Mahallesi,Tire,578.0,1.0,1605.92,4.0
Musalla Mahallesi,Çeşme,2530.64,14.0,928.19,11.0
Mustafa Kemal Atatürk Mahallesi,Foça,2714.77,15.0,0.0,0.0
Mustafa Kemal Mahallesi,Buca,24.8,5.0,1584.81,13.0
Mustafa Kemal Paşa Mahallesi,Güzelbahçe,17.79,3.0,4092.84,27.0
Mutaflar Mahallesi,Beydağ,261.0,2.0,555.85,6.0
Mıstıklar Mahallesi,Kınık,2.44,1.0,0.0,0.0
Naime Mahallesi,Torbalı,2.42,1.0,52.29,3.0
Naipli Mahallesi,Urla,1.02,1.0,1237.24,26.0
Naldöken Mahallesi,Bornova,0.0,0.0,3.0,1.0
Namazgah Mahallesi,Konak,0.0,0.0,2404.18,39.0
Namık Kemal Mahallesi,Konak,24.41,1.0,2408.92,52.0
Narlı Mahallesi,Narlıdere,751.62,11.0,4959.97,46.0
Narlıca Mahallesi,Bergama,1.17,1.0,420.15,3.0
Nazarköy Mahallesi,Kemalpaşa,1.38,1.0,2.02,1.0
Nebiler Mahallesi,Dikili,2.6,1.0,1.3,1.0
Necat Hepkon Mahallesi,Seferihisar,0.0,0.0,69.92,8.0
Necati Uza Mahallesi,Bayındır,3.0,1.0,38.36,6.0
Nergiz Mahallesi,Karşıyaka,8.75,3.0,20263.61,95.0
Nohutalan Mahallesi,Urla,670.0,1.0,6.8,2.0
Ocaklı Mahallesi,Ödemiş,1525.0,2.0,1843.51,7.0
Odunkapı Mahallesi,Konak,0.0,0.0,2399.99,48.0
Okçular Mahallesi,Bergama,400.0,1.0,750.0,1.0
Olgunlar Mahallesi,Kiraz,650.0,1.0,2.4,1.0
Onur Mahallesi,Balçova,8068.0,4.0,12121.61,85.0
Org.Nafiz Gürman Mahallesi,Bayraklı,0.0,0.0,8728.09,24.0
Orhangazi Mahallesi,Ödemiş,2.34,1.0,11.8,2.0
Orhanlı Mahallesi,Seferihisar,362.69,2.0,0.0,0.0
Ormanköy Mahallesi,Torbalı,4.72,1.0,1.29,1.0
Orta Mahalle,Bayındır,411.72,4.0,4392.74,21.0
Orta Mahallesi,Menderes,411.72,4.0,0.0,1.0
Ortaköy Mahallesi,Ödemiş,642.2,3.0,0.0,1.0
Oruşlar Mahallesi,Bergama,830.0,1.0,351.23,2.0
Osman Aksüner Mahallesi,Karabağlar,1.09,1.0,2898.66,108.0
Osmancık Mahallesi,Tire,1.23,1.0,1.7,1.0
Osmangazi Mahallesi,Bayraklı,0.0,0.0,345.32,16.0
Osmaniye Mahallesi,Kınık,27.71,3.0,4342.31,19.0
Osmanlar Mahallesi,Bayındır,850.0,1.0,739.0,1.0
Ovacık Mahallesi,Ödemiş,1828.12,13.0,0.0,0.0
Ovakent Mahallesi,Ödemiş,10.49,2.0,3.6,1.0
Oğlananası Atatürk Mahallesi,Menderes,3.07,1.0,4.08,1.0
Oğlananası Cumhuriyet Mahallesi,Menderes,0.0,0.0,2522.25,3.0
Oğuzlar Mahallesi,Ödemiş,372.64,2.0,0.0,4.0
Palamutçuk Mahallesi,Beydağ,1.09,1.0,1292.66,5.0
Pamukyazı Mahallesi,Torbalı,138.25,1.0,24.9,2.0
Pancar Mahallesi,Torbalı,3.22,1.0,15.8,2.0
Parlak Mahallesi,Karaburun,4.38,1.0,0.0,0.0
Payamlı Mahallesi,Seferihisar,624.61,4.0,0.0,0.0
Pazaryeri Mahallesi,Konak,0.0,0.0,2429.07,44.0
Paşa Mahallesi,Tire,400.0,1.0,4856.93,39.0
Paşaköy Mahallesi,Bergama,1.17,1.0,220.0,1.0
Peker Mahallesi,Karabağlar,5.6,1.0,988.32,64.0
Peşrefli Mahallesi,Tire,1.58,1.0,24.57,3.0
Pireveliler Mahallesi,Bergama,500.0,1.0,211.3,2.0
Piri Reis Mahallesi,Konak,724.24,2.0,354.68,78.0
Pirinççi Mahallesi,Ödemiş,5.68,1.0,902.33,6.0
Poligon Mahallesi,Karabağlar,5.54,3.0,37582.92,91.0
Postacılar Mahallesi,Bayraklı,0.0,0.0,11740.75,77.0
Poyracık Mahallesi,Kınık,612.4,6.0,3.4,2.0
Pınarbaşı Mahallesi,Kiraz,1.7,1.0,5.5,3.0
Pınarköy Mahallesi,Bergama,2.65,1.0,1.17,1.0
Pınarlı Mahallesi,Bayındır,4.79,3.0,3.94,0.0
R.Şevket İnce Mahallesi,Bayraklı,0.0,0.0,67.04,9.0
Rafet Paşa Mahallesi,Bornova,0.0,0.0,443.42,22.0
Rahmanlar Mahallesi,Bergama,290.0,1.0,125.0,1.0
Refet Bele Mahallesi,Karabağlar,1.86,1.0,4395.98,97.0
Reis Mahallesi,Karabağlar,4.38,2.0,1137.88,95.0
Reisdere Mahallesi,Çeşme,18.5,2.0,5.34,3.0
Rüstem Mahallesi,Urla,4.3,1.0,178.69,21.0
Sadıkpaşa Mahallesi,Bayındır,0.0,0.0,561.21,11.0
Sahilevleri Mahallesi,Narlıdere,7.77,3.0,40859.1,58.0
Saip Mahallesi,Karaburun,1.6,1.0,217.67,4.0
Saipler Mahallesi,Torbalı,780.0,2.0,5.5,1.0
Sakarya Mahallesi,Konak,14.1,6.0,14211.21,36.0
Salih Omurtak Mahallesi,Karabağlar,4.8,1.0,15239.96,95.0
Salihler Mahallesi,Dikili,12.55,3.0,3.1,1.0
Salimbey Mahallesi,Dikili,75.8,2.0,0.0,0.0
Salman Mahallesi,Karaburun,1.12,1.0,2.27,1.0
Samanlıkköy Mahallesi,Dikili,0.0,0.0,1256.15,3.0
Samurlu Mahallesi,Aliağa,1605.0,1.0,2620.0,1.0
Sancaklı Mahallesi,Menderes,4.97,2.0,1499.55,72.0
Sarnıçköy Mahallesi,Bornova,0.0,0.0,7.7,2.0
Sarpıncık Mahallesi,Karaburun,1.0,1.0,0.0,0.0
Saruhanlı Mahallesi,Tire,964.0,1.0,11.66,7.0
Sarıcalar Mahallesi,Bergama,1.0,1.0,0.0,0.0
Sarıcaoğlu Mahallesi,Bergama,570.0,1.0,630.0,2.0
Sarıdere Mahallesi,Bergama,980.0,1.0,324.4,3.0
Sarıkaya Mahallesi,Kiraz,769.1,2.0,736.05,2.0
Sarılar Mahallesi,Tire,723.85,4.0,0.0,0.0
Sarısu Mahallesi,Kiraz,1.0,1.0,0.0,0.0
Sarıyer Mahallesi,Karabağlar,0.0,0.0,2883.26,113.0
Sarıyurt Mahallesi,Bayındır,1.58,1.0,0.0,0.0
Sarıçalı Mahallesi,Kemalpaşa,1.84,1.0,3660.43,8.0
Sasalı Merkez Mahallesi,Çiğli,0.0,0.0,37.2,4.0
Saygı Mahallesi,Konak,750.0,1.0,2604.39,54.0
Saçlı Mahallesi,Kiraz,880.0,2.0,11.2,7.0
Sağancı Mahallesi,Bergama,1.4,1.0,0.0,0.0
Sağlık Mahallesi,Torbalı,1.17,1.0,0.0,0.0
Sekiköy Mahallesi,Ödemiş,3.0,1.0,11.8,4.0
Seklik Mahallesi,Bergama,990.0,1.0,250.0,1.0
Selvili Mahallesi,Karabağlar,8.1,3.0,1397.41,95.0
Selçuk Mahallesi,Bergama,5.77,1.0,1085.15,18.0
Serintepe Mahallesi,Bornova,6.0,1.0,1483.96,33.0
Sevgi Mahallesi,Gaziemir,45.51,9.0,149.43,19.0
Seydinnasrullah Mahallesi,Menemen,0.0,0.0,29989.0,4.0
Seyhan Mahallesi,Buca,5.0,1.0,2073.86,95.0
Seyrekli Mahallesi,Ödemiş,6.0,1.0,6.93,2.0
Sinancılar Mahallesi,Kemalpaşa,1194.92,3.0,2327.21,10.0
Sindel Mahallesi,Bergama,830.0,1.0,800.0,1.0
Siteler Mahallesi,Güzelbahçe,65708.04,10.0,0.0,0.0
Solaklar Mahallesi,Kiraz,3.77,2.0,601.1,2.0
Somak Mahallesi,Tire,466.0,1.0,1900.0,4.0
Soğukkuyu Mahallesi,Bayraklı,0.0,0.0,20145.36,104.0
Soğukpınar Mahallesi,Kemalpaşa,5880.39,5.0,9950.08,27.0
Subaşı Mahallesi,Torbalı,0.0,0.0,55.99,5.0
Sucahlı Mahallesi,Kınık,2.5,1.0,673.96,6.0
Sultaniye Mahallesi,Selçuk,750.0,1.0,0.0,0.0
Suludere Mahallesi,Kiraz,1.7,1.0,963.68,8.0
Suçıktı Mahallesi,Ödemiş,500.0,1.0,1.48,1.0
Söğütören Mahallesi,Bayındır,2.0,1.0,1600.0,2.0
Süleyman Demirel Mahallesi,Ödemiş,24.55,5.0,1625.22,21.0
Süleymanlar Mahallesi,Ödemiş,2.51,1.0,8.19,3.0
Süleymanlı Mahallesi,Bergama,380.0,1.0,0.0,0.0
Sümer Mahallesi,Konak,0.0,0.0,2399.45,48.0
Sütçüler Mahallesi,Kemalpaşa,1898.59,4.0,0.0,0.0
Süvari Mahallesi,Konak,0.0,0.0,2497.7,46.0
Süzbeyli Mahallesi,Menemen,0.0,0.0,0.0,0.0
Sıra Mahallesi,Urla,22.51,3.0,1188.31,19.0
Sırımlı Mahallesi,Kiraz,600.0,1.0,1302.77,3.0
Sığacık Mahallesi,Seferihisar,17.16,2.0,0.0,0.0
Tabaklar Mahallesi,Beydağ,296.0,1.0,1303.02,10.0
Tahsin Yazıcı Mahallesi,Karabağlar,40.1,6.0,10422.86,97.0
Talatpaşa Mahallesi,Bergama,0.0,0.0,1074.18,16.0
Tan Mahallesi,Konak,0.0,0.0,2408.17,45.0
Tavukçukuru Mahallesi,Bergama,1.45,1.0,920.0,5.0
Taşkesik Mahallesi,Torbalı,1.54,1.0,4.43,1.0
Taşlıyatak Mahallesi,Kiraz,1.4,1.0,803.4,2.0
Taştepe Mahallesi,Kınık,5.6,1.0,43.1,5.0
Tekbıçaklar Mahallesi,Kiraz,600.0,1.0,8.57,4.0
Tekeli Atatürk Mahallesi,Menderes,7.57,1.0,0.0,0.0
Tekeli Fevzi Çakmak Mahallesi,Menderes,0.0,0.0,13.45,2.0
Tekke Mahallesi,Ödemiş,3.17,1.0,0.0,0.0
Tekkedere Mahallesi,Bergama,1.7,1.0,23.0,4.0
Teleferik Mahallesi,Balçova,5835.0,3.0,131346.75,39.0
Telekler Mahallesi,Menemen,0.0,0.0,0.0,0.0
Tepeboz Mahallesi,Karaburun,624.45,2.0,1521.0,2.0
Tepecik Mahallesi,Seferihisar,12.44,2.0,0.0,0.0
Tepekule Mahallesi,Bayraklı,0.0,0.0,42.68,6.0
Tepeköy Mahallesi,Bergama,20.68,5.0,302.32,0.0
Tersane Mahallesi,Karşıyaka,3.55,2.0,19924.4,60.0
Terzihaliller Mahallesi,Bergama,625.0,1.0,1.15,1.0
Tiyelti Mahallesi,Bergama,790.0,1.0,887.1,4.0
Tokatbaşı Mahallesi,Bayındır,1.5,1.0,0.0,0.0
Toki Mahallesi,Tire,17.08,1.0,0.0,0.0
Topalak Mahallesi,Tire,444.0,1.0,1433.92,4.0
Topallar Mahallesi,Bergama,500.0,1.0,2040.0,4.0
Toparlar Mahallesi,Tire,436.0,1.0,1044.0,2.0
Torasan Mahallesi,Urla,8.14,3.0,34.8,4.0
Torbalı Mahallesi,Torbalı,31.11,6.0,30.09,4.0
Torbalı Organize Sanayi Bölgesi,Torbalı,0.0,0.0,0.0,0.0
Tosunlar Mahallesi,Ödemiş,1.48,1.0,500.0,1.0
Trakya Mahallesi,Konak,0.0,0.0,3070.28,52.0
Tulum Mahallesi,Torbalı,27.4,1.0,0.0,0.0
Tumbullar Mahallesi,Kiraz,800.0,1.0,604.8,3.0
Tuna Mahallesi,Karşıyaka,13.6,4.0,1828.8,21.0
Turabey Mahallesi,Bergama,0.0,0.0,1083.14,17.0
Turabiye Mahallesi,Seferihisar,12.0,1.0,17.4,2.0
