name,ilce_adi,NDVI,NDBI
Buca Organize Sanayi Bölgesi,Buca,0.1347523112992809,0.0291918340803767
Bucak Mahallesi,Ödemiş,0.4637865545009084,-0.0176716656541245
Bulgurca Mahallesi,Menderes,0.3377892230658872,0.0147742438033939
Buruncuk Mahallesi,Bayındır,0.3986682444481031,-0.053772721878133305
Bölcek Mahallesi,Bergama,0.3580177795796418,-0.0380973261578389
Bülbüldere Mahallesi,Torbalı,0.4057984699205771,0.0156467104698335
Bülbüller Mahallesi,Ödemiş,0.5556509032370083,-0.1227830108542784
Büyükavulcuk Mahallesi,Ödemiş,0.4260953849403278,-0.06368609740127
Büyükkale Mahallesi,Tire,0.583043316436973,-0.2106890214161326
Büyükkemerdere Mahallesi,Tire,0.573483522975034,-0.1456886678575754
Büyükkömürcü Mahallesi,Tire,0.5285695273833085,-0.1150289746778079
Büyükoba Mahallesi,Kınık,0.4613069846056254,-0.0466024602760425
Bıyıklar Mahallesi,Bayındır,0.2580985661401235,0.0550527770534193
Bıçakçı Mahallesi,Ödemiş,0.5982447299962783,-0.1585292365432428
Cambazlı Mahallesi,Tire,0.6502361270919081,-0.2243140326121849
Camiatik Mahallesi,Urla,0.4057750651917218,-0.0438492997067975
Camii Mahallesi,Bayındır,0.1932278756446818,0.1133214012460919
Camiikebir Mahallesi,Menemen,0.3919594993610248,-0.075736138712071
Camikebir Mahallesi,Seferihisar,0.4647914835547001,-0.0816329745883601
Celal Bayar Mahallesi,Çeşme,0.3484265834919596,-0.008689820800665
Cengiz Topel Mahallesi,Konak,0.2796035802980612,0.0032473438632741
Cengizhan Mahallesi,Bayraklı,0.1739504869755938,0.0432061777357376
Cennetoğlu Mahallesi,Karabağlar,0.1179569949162986,0.0716838451648637
Cennetçeşme Mahallesi,Karabağlar,0.2403623917136585,0.0414212690222284
Ceritler Mahallesi,Kiraz,0.4748421864988086,-0.0610476026821874
Cevaplı Mahallesi,Bergama,0.4031649525464965,-0.0236720715560038
Cevizalan Mahallesi,Ödemiş,0.461926856028891,-0.0046893813562649
Cevizli Mahallesi,Kiraz,0.4618230975438923,-0.0466609563779797
