ILCE_ORJ,MAHALLE_ORJ,ALAN_M2,NUFUS_2025,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027,XGB_TAHMINI_NUFUS_2026,XGB_TAHMINI_NUFUS_2027,KISI_BASI_M2_2025,XGB_KISI_BASI_M2_2026,XGB_KISI_BASI_M2_2027,HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_XGB_2026,HEDEF_ALAN_M2_XGB_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_XGB_2026,EKLENMESI_GEREKEN_ALAN_M2_XGB_2027,XGB_RISK_2025,XGB_RISK_2026,XGB_RISK_2027,ESLESME_TURU
Gaziemir,Fatih Mah.,3960.0,5678,5690,5702,5715,5715,0.6974286720676295,0.6929133858267716,0.6929133858267716,8517.0,8572.5,8572.5,4557.0,4612.5,4612.5,1,1,1,EXACT
Menemen,Hatundere Mah.,738.0,3329,3422,3518,3426,3558,0.22168819465304895,0.21541155866900175,0.20741989881956155,4993.5,5139.0,5337.0,4255.5,4401.0,4599.0,1,1,1,EXACT
Kemalpasa,Cambel Mah.,2939.0,4730,4826,4924,4792,4922,0.6213530655391121,0.613313856427379,0.5971149939049167,7095.0,7188.0,7383.0,4156.0,4249.0,4444.0,1,1,1,EXACT
Konak,Piri Reis Mah.,1959.0,4344,4276,4209,4243,4243,0.4509668508287293,0.4617016262078718,0.4617016262078718,6516.0,6364.5,6364.5,4557.0,4405.5,4405.5,1,1,1,EXACT
Gaziemir,Dokuz Eylul Mah.,12790.0,11452,11476,11501,11442,11442,1.1168354872511352,1.1178115714036008,1.1178115714036008,17178.0,17163.0,17163.0,4388.0,4373.0,4373.0,1,1,1,EXACT
Konak,Kilic Reis Mah.,5414.0,6684,6580,6477,6501,6501,0.8099940155595452,0.8327949546223657,0.8327949546223657,10026.0,9751.5,9751.5,4612.0,4337.5,4337.5,1,1,1,EXACT
Karabaglar,Kazim Karabekir Mah.,12551.0,11841,11703,11566,11686,11238,1.0599611519297356,1.0740201951052541,1.116835735896067,17761.5,17529.0,16857.0,5210.5,4978.0,4306.0,1,1,1,EXACT
Kiraz,Istiklal Mah.,1200.0,3681,3676,3671,3636,3636,0.32599837000814996,0.33003300330033003,0.33003300330033003,5521.5,5454.0,5454.0,4321.5,4254.0,4254.0,1,1,1,EXACT
Karabaglar,Selvili Mah.,8103.0,8434,8336,8238,8331,8235,0.9607540905857245,0.9726323370543752,0.9839708561020036,12651.0,12496.5,12352.5,4548.0,4393.5,4249.5,1,1,1,EXACT
Konak,Guney Mah.,1450.0,3774,3715,3657,3740,3740,0.3842077371489136,0.3877005347593583,0.3877005347593583,5661.0,5610.0,5610.0,4211.0,4160.0,4160.0,1,1,1,EXACT
Karabaglar,Cennetoglu Mah.,1630.0,3833,3788,3744,3818,3818,0.42525436994521265,0.42692509167103193,0.42692509167103193,5749.5,5727.0,5727.0,4119.5,4097.0,4097.0,1,1,1,EXACT
Konak,Lale Mah.,1000.0,3347,3295,3243,3303,3304,0.2987750224081267,0.3027550711474417,0.3026634382566586,5020.5,4954.5,4956.0,4020.5,3954.5,3956.0,1,1,1,EXACT
Bayrakli,Cay Mah.,7409.0,7816,7727,7640,7644,7473,0.9479273285568065,0.9692569335426479,0.991435835675097,11724.0,11466.0,11209.5,4315.0,4057.0,3800.5,1,1,1,EXACT
Tire,4 Eylul Mah.,2368.0,4062,4049,4035,4082,4082,0.5829640571147218,0.580107790298873,0.580107790298873,6093.0,6123.0,6123.0,3725.0,3755.0,3755.0,1,1,1,EXACT
Bornova,Serintepe Mah.,6000.0,6397,6450,6504,6421,6474,0.9379396592152571,0.9344338888023672,0.9267840593141798,9595.5,9631.5,9711.0,3595.5,3631.5,3711.0,1,1,1,EXACT
Konak,Ismet Pasa Mah.,2300.0,4120,4056,3992,4044,4002,0.558252427184466,0.5687438180019783,0.5747126436781609,6180.0,6066.0,6003.0,3880.0,3766.0,3703.0,1,1,1,EXACT
Karabaglar,Uzundere Mah.,2144.0,4049,4002,3955,4004,3897,0.5295134601136083,0.5354645354645354,0.5501667949704901,6073.5,6006.0,5845.5,3929.5,3862.0,3701.5,1,1,1,EXACT
Torbali,Alpkent Mah.,11991.0,9891,10132,10378,10235,10437,1.2123142250530785,1.1715681485100147,1.1488933601609659,14836.5,15352.5,15655.5,2845.5,3361.5,3664.5,1,1,1,EXACT
Gaziemir,Aktepe Mah.,5300.0,5980,5993,6005,5961,5961,0.8862876254180602,0.8891125650058715,0.8891125650058715,8970.0,8941.5,8941.5,3670.0,3641.5,3641.5,1,1,1,EXACT
Karabaglar,Salih Omurtak Mah.,4800.0,5730,5663,5597,5693,5627,0.837696335078534,0.843140699104163,0.8530300337657721,8595.0,8539.5,8440.5,3795.0,3739.5,3640.5,1,1,1,EXACT
