ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2,TARGET_AREA,AREA_DEFICIT,VULNERABILITY_RATIO
ALIAGA,CAKMAKLI,884,4671.0,34.520734575121175,0.2609344328857811,0.0365518465659852,5.28,1326.0,0.0,0.0
KIRAZ,AVUNDURUK,139,1350.0,33.74077339921829,0.4936690299083979,-0.0579009345535978,9.71,208.5,0.0,0.0
BORNOVA,KIZILAY,15749,5400.0,38.59893392737956,0.27370627507991,-0.0146998323498176,0.34,23623.5,18223.5,77.14140580354308
KIRAZ,BAHCEARASI,444,1280.0,29.57107383270372,0.4878710658806803,-0.0664836324947733,2.88,666.0,0.0,0.0
ODEMIS,HORZUM,522,5418.0,29.46512852708457,0.5452844941345991,-0.1137842699373475,10.38,783.0,0.0,0.0
ODEMIS,KUCUKAVULCUK,444,3546.0,38.70126558777351,0.4331778305103901,-0.0164846700254192,7.99,666.0,0.0,0.0
KINIK,ARPADERE,294,1235.0,34.676165707461216,0.4590552647790883,-0.0195368399030165,4.2,441.0,0.0,0.0
KARABAGLAR,BOZYAKA,15577,9368.0,37.47593957133216,0.087980791520596,0.0918119607918821,0.6,23365.5,13997.5,59.90670004921787
BEYDAG,CIFTLIKKOY,176,1700.0,35.7537909777688,0.4357128563737116,-0.0242721152264209,9.66,264.0,0.0,0.0
BERGAMA,ORENLI,364,1230.0,37.24034979913028,0.3616511401133684,0.0411630033150181,3.38,546.0,0.0,0.0
BUCA,SEYHAN,2494,5000.0,37.29720505960735,0.0537092766009424,0.0810084313321615,2.0,3741.0,0.0,0.0
ODEMIS,DEMIRCILI,723,4761.0,35.444944306525045,0.424547802070692,-0.062167163734537,6.59,1084.5,0.0,0.0
CIGLI,EVKA-6,2263,3206.0,38.461277327942256,0.2720938144913875,-0.001240139985641,1.42,3394.5,188.5,5.553100603918103
KONAK,2.KADRIYE,6167,5535.0,37.75305654383468,0.2556260511855804,0.0277346152376,0.9,9250.5,3715.5,40.16539646505594
ALIAGA,HOROZGEDIGI,283,1800.0,35.896671369852804,0.2510259336386592,0.0059465453364919,6.36,424.5,0.0,0.0
BORNOVA,GURPINAR,12214,12400.0,29.56253499028571,0.5558540746510312,-0.1880919513473503,1.02,18321.0,5921.0,32.31810490693739
BALCOVA,ONUR,15693,8068.0,37.133826294623006,0.1543898958257117,0.0647904250181727,0.51,23539.5,15471.5,65.72569510822235
DIKILI,UZUNBURUN,298,1800.0,37.30623766377545,0.3590886855635853,0.0479369416596282,6.04,447.0,0.0,0.0
BEYDAG,CAMLIK,378,1660.0,32.25707328348131,0.428357755826186,-0.0908870631617511,4.39,567.0,0.0,0.0
