ILCE,MAHALLE,NUFUS_2025,ARTIS_HIZI_BINDE,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027
Beydag,Ataturk Mah.,2262,-4.61,2252,2241
Beydag,Bakirkoy Mah.,221,-4.61,220,219
Beydag,Beykoy Mah.,291,-4.61,290,288
Beydag,Cumhuriyet Mah.,3061,-4.61,3047,3033
Beydag,Erikli Mah.,330,-4.61,328,327
Beydag,Egridere Mah.,635,-4.61,632,629
Beydag,Halikoy Mah.,381,-4.61,379,377
Beydag,Karaoba Mah.,341,-4.61,339,338
Beydag,Kurudere Mah.,462,-4.61,460,458
Beydag,Menderes Mah.,128,-4.61,127,127
Beydag,Mutaflar Mah.,291,-4.61,290,288
Beydag,Palamutcuk Mah.,234,-4.61,233,232
Beydag,Sarikaya Mah.,181,-4.61,180,179
Beydag,Tabaklar Mah.,65,-4.61,65,64
Beydag,Yagcilar Mah.,428,-4.61,426,424
Beydag,Yeniyurt Mah.,74,-4.61,74,73
Beydag,Yesiltepe Mah.,269,-4.61,268,267
Beydag,Yukariaktepe Mah.,299,-4.61,298,296
Beydag,Yukaritosunlar Mah.,157,-4.61,156,156
Beydag,Camlik Mah.,378,-4.61,376,375
Beydag,Ciftlikkoy Mah.,176,-4.61,175,174
Beydag,Comaklar Mah.,300,-4.61,299,297
Bornova,Ataturk Mah.,29527,8.3,29772,30019
Bornova,Barbaros Mah.,11413,8.3,11508,11603
Bornova,Besyol Mah.,381,8.3,384,387
Bornova,Birlik Mah.,6274,8.3,6326,6379
Bornova,Doganlar Mah.,22291,8.3,22476,22663
Bornova,Egemenlik Mah.,2371,8.3,2391,2411
Bornova,Ergene Mah.,11031,8.3,11123,11215
Bornova,Erzene Mah.,39767,8.3,40097,40430
Bornova,Evka 3 Mah.,20649,8.3,20820,20993
Bornova,Evka 4 Mah.,14179,8.3,14297,14415
Bornova,Egridere Mah.,1919,8.3,1935,1951
Bornova,Gazi Osman Pasa Mah.,12642,8.3,12747,12853
Bornova,Gokdere Mah.,379,8.3,382,385
Bornova,Gurpinar Mah.,12214,8.3,12315,12418
Bornova,Isiklar Mah.,2507,8.3,2528,2549
Bornova,Karacaoglan Mah.,8949,8.3,9023,9098
Bornova,Karacam Mah.,691,8.3,697,703
Bornova,Kavaklidere Mah.,3220,8.3,3247,3274
Bornova,Kayadibi Mah.,288,8.3,290,293
Bornova,Kazimdirik Mah.,36762,8.3,37067,37375
Bornova,Kemalpasa Mah.,11065,8.3,11157,11249
Bornova,Kosukavak Mah.,7690,8.3,7754,7818
Bornova,Kurudere Mah.,61,8.3,62,62
