ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2
BERGAMA,YUKARIKIRIKLAR,117,1000.0,37.31005177168085,0.3885016892125616,-0.0113834126553119,8.55
BERGAMA,ZAFER,4374,12500.0,35.74367445908596,0.3458899747037375,-0.0272008480331887,2.86
BERGAMA,ZAGNOZ,75,500.0,35.227038590227984,0.3287626354219585,0.0125239131093772,6.67
BERGAMA,ZEYTINDAG,2618,16000.0,34.23819842141771,0.351665807287243,-0.0206883395495264,6.11
BEYDAG,ADAKURE,387,3000.0,27.723134265699144,0.5716383253160662,-0.1312050823292758,7.75
BEYDAG,AKTEPE,451,30000.0,35.65132172005856,0.271394701632568,0.0144294941103275,66.52
BEYDAG,ALAKECILI,102,352.0,33.5136616573547,0.5700238064002084,-0.1354858988807672,3.45
BEYDAG,BAKIRKOY,221,1012.0,32.64693740266436,0.4723550128077238,-0.0644267349855615,4.58
BEYDAG,BEYKOY,291,3000.0,28.06055103003576,0.6015495624633511,-0.1547371674157651,10.31
BEYDAG,CAMLIK,378,1660.0,32.25707328348131,0.428357755826186,-0.0908870631617511,4.39
BEYDAG,CIFTLIKKOY,176,1700.0,35.7537909777688,0.4357128563737116,-0.0242721152264209,9.66
BEYDAG,COMAKLAR,300,1600.0,26.1935841205741,0.6534700393190239,-0.2028608505706978,5.33
BEYDAG,ERIKLI,330,1500.0,27.12415424151298,0.6538007950922781,-0.1921693985753117,4.55
BEYDAG,HALIKOY,381,1800.0,29.498663092754644,0.5727658069594035,-0.1361335380504762,4.72
BEYDAG,KARAOBA,341,18000.0,35.02603487813088,0.4577761014185323,-0.0337777682479291,52.79
BEYDAG,KURUDERE,462,2008.0,32.12354521012569,0.5414561468580857,-0.1085180985198025,4.35
BEYDAG,MENDERES,128,568.0,35.86135623167901,0.275694028697398,0.023060679655185,4.44
BEYDAG,MUTAFLAR,291,1260.0,31.12328241960769,0.5103519706687892,-0.0615988847418431,4.33
BEYDAG,PALAMUTCUK,234,1088.0,27.70580028316066,0.6057695682699564,-0.1819143219546522,4.65
BEYDAG,TABAKLAR,65,296.0,27.76930932643938,0.6463306937933034,-0.1834290679056469,4.55
BEYDAG,YENIYURT,74,304.0,27.561889993640985,0.645613372093015,-0.1848865796620517,4.11
BEYDAG,YESILTEPE,269,1280.0,30.69755130018125,0.3873322930621567,-0.0406641418948914,4.76
BEYDAG,YUKARIAKTEPE,299,1280.0,32.06121791984758,0.4714055225743536,-0.0184853074606236,4.28
BEYDAG,YUKARITOSUNLAR,157,608.0,36.54775661743233,0.4910995073571471,-0.0488262310527828,3.87
BORNOVA,BESYOL,381,5700.0,31.270690485138896,0.4425787733760931,-0.0769116297403601,14.96
BORNOVA,BIRLIK,6274,6200.0,36.627484101713854,0.1252450612554943,0.0530553548612699,0.99
BORNOVA,CAMICI,295,2400.0,33.47314570641699,0.5292325328789281,-0.1295159193896294,8.14
BORNOVA,CAMKULE,6358,8300.0,33.30099227262138,0.4334045260583711,-0.0651834559820376,1.31
BORNOVA,CICEKLI,381,1280.0,31.823156446583848,0.5967707959287625,-0.1863167397019436,3.36
BORNOVA,DOGANLAR,22291,9160.0,36.90515579592684,0.1164036153953071,0.0573956806079362,0.41
BORNOVA,EGEMENLIK,2371,7900.0,34.91302028415641,0.2589807545973195,-0.0110330165891536,3.33
BORNOVA,ERGENE,11031,23300.0,37.96950925651308,0.1888621535269926,0.0245072539089454,2.11
BORNOVA,ERZENE,39767,393580.0,36.07799328561525,0.4330419152862532,-0.0897270955171806,9.9
BORNOVA,EVKA3,20649,7900.0,35.994245497106164,0.3617287237329845,-0.0624187335024615,0.38
BORNOVA,EVKA4,14179,46380.0,37.92506854512972,0.2822392136105066,-0.0126110310571337,3.27
BORNOVA,GAZIOSMANPASA,12642,2200.0,35.9877837171243,0.1073064426258461,0.0499360965062629,0.17
BORNOVA,GOKDERE,379,4000.0,31.57660116545262,0.4936083794536159,-0.1184989862729488,10.55
BORNOVA,GURPINAR,12214,12400.0,29.56253499028571,0.5558540746510312,-0.1880919513473503,1.02
BORNOVA,ISIKLAR,2507,3400.0,35.66249285572609,0.3576457831209196,-0.0225526618970902,1.36
BORNOVA,KARACAM,691,12600.0,32.017035830177484,0.5173068502293813,-0.115287217767958,18.23
BORNOVA,KARACAOGLAN,8949,3900.0,37.334501043666805,0.168947362375275,0.0305983137872154,0.44
BORNOVA,KAVAKLIDERE,3220,4300.0,28.955650741778847,0.5616622213454704,-0.1850625910367073,1.34
BORNOVA,KAYADIBI,288,3000.0,32.62077996997,0.5259052839994914,-0.1086496982350447,10.42
BORNOVA,KAZIMDIRIK,36762,134340.0,36.49853466152736,0.2219359933251442,-0.0115206671945783,3.65
